Lon Lat Yield EC WHC
-111.785117 42.614991 76.84 27.99 NA
-111.784443 42.614991 80.58 27.35 NA
-111.783769 42.614991 87.34 24.78 4.51
-111.783095 42.614991 115.88 22.95 NA
-111.782421 42.614991 108.5 25.99 NA
-111.781748 42.614991 105.43 30.42 4.86
-111.781074 42.614991 95.69 27.45 NA
-111.7804 42.614991 101.48 27.31 NA
-111.787812 42.615295 96.08 21.53 NA
-111.787138 42.615295 78.37 22.35 NA
-111.786464 42.615295 79.56 21.15 NA
-111.785791 42.615295 69.61 27.73 NA
-111.785117 42.615295 66.61 27.01 NA
-111.784443 42.615295 83.19 25.68 NA
-111.783769 42.615295 92.1 21.7 NA
-111.783095 42.615295 100.37 22.08 NA
-111.782421 42.615295 112.98 24 NA
-111.781748 42.615295 120.22 26.79 5.79
-111.781074 42.615295 120.99 26.11 NA
-111.7804 42.615295 111.24 25.88 NA
-111.787138 42.6156 100.6 24.27 NA
-111.786464 42.6156 79.77 24.19 NA
-111.785791 42.6156 73.13 27.62 6.26
-111.785117 42.6156 80.3 27.15 NA
-111.784443 42.6156 97.05 28.55 NA
-111.783769 42.6156 89.13 23.58 NA
-111.783095 42.6156 92.18 22.43 NA
-111.782421 42.6156 120.93 25.19 NA
-111.781748 42.6156 107.9 26.65 NA
-111.781074 42.6156 114.17 26.09 NA
-111.786464 42.615904 67.28 21.5 NA
-111.785791 42.615904 75.53 24 NA
-111.785117 42.615904 70.06 24.52 5.4
-111.784443 42.615904 83.16 27.42 NA
-111.783769 42.615904 77.1 20.52 6.12
-111.783095 42.615904 101.82 19.67 NA
-111.782421 42.615904 105.95 20.29 3.56
-111.781748 42.615904 119.72 27.15 NA
-111.786464 42.616209 85.17 20.37 NA
-111.785791 42.616209 66.66 24.43 NA
-111.785117 42.616209 64.52 25.27 NA
-111.784443 42.616209 72.9 23.18 NA
-111.783769 42.616209 84.28 20.99 NA
-111.783095 42.616209 88.05 25.5 NA
-111.782421 42.616209 96.99 21 NA
-111.781748 42.616209 119.22 26.04 NA
-111.785117 42.616513 73.43 23.34 NA
-111.784443 42.616513 72.08 25.07 NA
-111.783769 42.616513 80.46 21.44 4.34
-111.783095 42.616513 85.65 21.42 NA
