Lon Lat Temp Surface
-95.46 29.74 37.93 urban
-95.46 29.73 38.01 urban
-95.46 29.72 37.63 urban
-95.46 29.71 NA urban
-95.46 29.7 NA urban
-95.46 29.69 NA urban
-95.46 29.68 NA urban
-95.46 29.67 NA urban
-95.46 29.66 NA urban
-95.46 29.65 NA cropland
-95.46 29.64 NA urban
-95.46 29.63 NA urban
-95.46 29.62 35.15 cropland
-95.46 29.61 35.67 urban
-95.46 29.6 36.43 urban
-95.46 29.59 35.91 urban
-95.46 29.58 33.83 savanna
-95.46 29.57 30.73 cropland
-95.46 29.56 31.13 savanna
-95.46 29.55 32.73 cropland
-95.46 29.54 33.81 cropland
-95.46 29.53 35.21 cropland
-95.46 29.52 33.33 cropland
-95.46 29.51 32.43 cropland
-95.46 29.5 31.67 cropland
-95.46 29.49 30.61 savanna
-95.46 29.48 30.99 forest
-95.46 29.47 31.99 savanna
-95.47 29.75 38.17 urban
-95.47 29.74 38.29 urban
-95.47 29.73 38.59 urban
-95.47 29.72 38.47 urban
-95.47 29.71 38.09 urban
-95.47 29.7 NA urban
-95.47 29.69 NA urban
-95.47 29.68 NA urban
-95.47 29.67 NA urban
-95.47 29.66 NA urban
-95.47 29.65 NA urban
-95.47 29.64 NA urban
-95.47 29.63 NA urban
-95.47 29.62 NA urban
-95.47 29.61 35.57 cropland
-95.47 29.6 36.19 urban
-95.47 29.59 35.33 urban
-95.47 29.58 33.83 savanna
-95.47 29.57 31.17 savanna
-95.47 29.56 31.87 cropland
-95.47 29.55 33.63 cropland
-95.47 29.54 34.83 cropland
-95.47 29.53 35.51 cropland
-95.47 29.52 33.07 cropland
-95.47 29.51 32.33 cropland
-95.47 29.5 31.53 cropland
-95.47 29.49 30.19 cropland
-95.47 29.48 30.77 cropland
-95.47 29.47 30.91 savanna
-95.48 29.75 38.11 urban
-95.48 29.74 38.55 urban
-95.48 29.73 38.79 urban
-95.48 29.72 39.01 urban
-95.48 29.71 38.67 urban
-95.48 29.7 37.39 urban
-95.48 29.69 NA urban
-95.48 29.68 NA urban
-95.48 29.67 NA urban
-95.48 29.66 NA urban
-95.48 29.65 NA urban
-95.48 29.64 NA cropland
-95.48 29.63 NA forest
-95.48 29.62 NA urban
-95.48 29.61 35.85 forest
-95.48 29.6 35.99 urban
-95.48 29.59 34.77 urban
-95.48 29.58 33.59 urban
-95.48 29.57 31.23 savanna
-95.48 29.56 32.33 savanna
-95.48 29.55 33.73 cropland
-95.48 29.54 34.79 cropland
-95.48 29.53 35.05 cropland
-95.48 29.52 32.39 cropland
-95.48 29.51 32.05 cropland
-95.48 29.5 31.29 cropland
-95.48 29.49 29.93 cropland
-95.48 29.48 30.49 cropland
-95.48 29.47 30.53 savanna
-95.49 29.75 37.97 urban
-95.49 29.74 38.57 urban
-95.49 29.73 38.23 urban
-95.49 29.72 39.27 urban
-95.49 29.71 38.73 urban
-95.49 29.7 37.17 urban
-95.49 29.69 37.27 urban
-95.49 29.68 NA urban
-95.49 29.67 NA urban
-95.49 29.66 NA urban
-95.49 29.65 NA urban
-95.49 29.64 NA cropland
-95.49 29.63 NA cropland
-95.49 29.62 NA cropland
-95.49 29.61 36.37 urban
-95.49 29.6 35.71 urban
-95.49 29.59 34.27 urban
-95.49 29.58 33.43 forest
-95.49 29.57 31.63 cropland
-95.49 29.56 31.93 cropland
-95.49 29.55 32.81 cropland
-95.49 29.54 33.45 cropland
-95.49 29.53 33.33 cropland
-95.49 29.52 31.41 cropland
-95.49 29.51 32.63 cropland
-95.49 29.5 32.37 cropland
-95.49 29.49 31.25 savanna
-95.49 29.48 30.67 cropland
-95.49 29.47 30.19 cropland
-95.5 29.75 36.03 urban
-95.5 29.74 37.47 urban
-95.5 29.73 38.17 urban
-95.5 29.72 38.79 urban
-95.5 29.71 38.11 urban
-95.5 29.7 37.29 urban
-95.5 29.69 37.43 urban
-95.5 29.68 36.55 urban
-95.5 29.67 37.45 urban
-95.5 29.66 NA urban
-95.5 29.65 NA urban
-95.5 29.64 NA urban
-95.5 29.63 NA forest
-95.5 29.62 NA urban
-95.5 29.61 36.27 urban
-95.5 29.6 35.91 urban
-95.5 29.59 34.81 forest
-95.5 29.58 33.93 forest
-95.5 29.57 32.13 cropland
-95.5 29.56 32.77 savanna
-95.5 29.55 33.61 savanna
-95.5 29.54 33.51 cropland
-95.5 29.53 32.77 cropland
-95.5 29.52 31.77 savanna
-95.5 29.51 33.33 cropland
-95.5 29.5 33.25 savanna
-95.5 29.49 32.35 forest
-95.5 29.48 31.07 cropland
-95.5 29.47 29.25 cropland
-95.51 29.75 35.57 urban
-95.51 29.74 36.95 urban
-95.51 29.73 38.03 urban
-95.51 29.72 38.29 urban
-95.51 29.71 37.79 urban
-95.51 29.7 37.43 urban
-95.51 29.69 37.29 urban
-95.51 29.68 35.95 urban
-95.51 29.67 37.37 urban
-95.51 29.66 37.33 urban
-95.51 29.65 36.65 urban
-95.51 29.64 NA urban
-95.51 29.63 NA urban
-95.51 29.62 NA cropland
-95.51 29.61 36.17 urban
-95.51 29.6 36.41 urban
-95.51 29.59 35.99 forest
-95.51 29.58 34.65 forest
-95.51 29.57 32.73 forest
-95.51 29.56 33.27 cropland
-95.51 29.55 33.43 cropland
-95.51 29.54 33.35 cropland
-95.51 29.53 32.65 cropland
-95.51 29.52 32.49 savanna
-95.51 29.51 33.73 cropland
-95.51 29.5 34.53 cropland
-95.51 29.49 33.27 cropland
-95.51 29.48 31.01 cropland
-95.51 29.47 29.09 savanna
-95.52 29.75 34.99 urban
-95.52 29.74 36.41 urban
-95.52 29.73 37.69 urban
-95.52 29.72 37.85 urban
-95.52 29.71 37.27 urban
-95.52 29.7 37.37 urban
-95.52 29.69 37.37 urban
-95.52 29.68 36.87 urban
